"ID","Hospcode","Kpi Year","Kpi No","Kpi ID","Kpi Provcode","Kpi Order","Kpi Definition","Kpi A Value","Kpi B Value","Kpi C Value","Kpi D Value","Kpi E Value","Kpi F Value","Kpi Result","Kpi Result Q1","Kpi Result Q2","Kpi Result Q3","Kpi Result Q4","Kpi Condition","Kpi Formula","Kpi Sql","Update โดย","Last Update","Kpi A Value Q1","Kpi B Value Q1","Kpi C Value Q1","Kpi D Value Q1","Kpi E Value Q1","Kpi F Value Q1","Kpi A Value Q2","Kpi B Value Q2","Kpi C Value Q2","Kpi D Value Q2","Kpi E Value Q2","Kpi F Value Q2","Kpi A Value Q3","Kpi B Value Q3","Kpi C Value Q3","Kpi D Value Q3","Kpi E Value Q3","Kpi F Value Q3","Kpi A Value Q4","Kpi B Value Q4","Kpi C Value Q4","Kpi D Value Q4","Kpi E Value Q4","Kpi F Value Q4","แนบไฟล์","แนบรูปภาพกิจกรรม","Ref","แนบรายงาน Quick Win ไตรมาส 1","แนบรายงาน Quick Win ไตรมาส 2","แนบรายงาน Quick Win ไตรมาส 3","แนบรายงาน Quick Win ไตรมาส 4","Rep Q1","Rep Q2","Rep Q3","Rep Q4","Content Date","Note","Key"
"19898","63","2563","14","1496","81","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:17:05","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19899","64","2563","14","1496","82","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:17:36","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19900","65","2563","14","1496","83","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:17:39","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19901","66","2563","14","1496","84","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:17:42","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19902","67","2563","14","1496","85","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:17:44","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19903","68","2563","14","1496","86","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:17:47","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19904","69","2563","14","1496","90","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:17:51","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19905","70","2563","14","1496","91","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:17:54","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19906","71","2563","14","1496","92","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:17:58","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19907","72","2563","14","1496","93","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:18:13","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19908","73","2563","14","1496","94","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:18:17","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
